RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Sanitätsgemeindeverband Unterach am Attersee;20133;4;1;;
Sanitätsgemeindeverband Unterweißenbach - Kaltenberg;20133;2;1;;
Sanitätsgemeindeverband Unterweißenbach - Kaltenberg;20133;4;1;;
Sanitätsgemeindeverband Uttendorf i. Pinzgau;20133;2;1;;
Sanitätsgemeindeverband Uttendorf i. Pinzgau;20133;4;1;;
Sanitätsgemeindeverband Vöcklabruck;20133;2;1;;
Sanitätsgemeindeverband Vöcklabruck;20133;4;1;;
Sanitätsgemeindeverband Vorderweißenbach;20133;2;1;;
Sanitätsgemeindeverband Vorderweißenbach;20133;4;1;;
Sanitätsgemeindeverband Waizenkirchen;20133;2;1;;
Sanitätsgemeindeverband Waizenkirchen;20133;4;1;;
Sanitätsgemeindeverband Waldhausen;20133;2;1;;
Sanitätsgemeindeverband Waldhausen;20133;4;1;;
Sanitätsgemeindeverband Waldneukirchen;20133;2;1;;
Sanitätsgemeindeverband Waldneukirchen;20133;4;1;;
Sanitätsgemeindeverband Waldzell;20133;2;1;;
Sanitätsgemeindeverband Waldzell;20133;4;1;;
Sanitätsgemeindeverband Weilbach;20133;2;1;;
Sanitätsgemeindeverband Weilbach;20133;4;1;;
Sanitätsgemeindeverband Weißkirchen an der Traun;20133;2;1;;
Sanitätsgemeindeverband Weißkirchen an der Traun;20133;4;1;;
Sanitätsgemeindeverband Weitra;20133;2;1;;
Sanitätsgemeindeverband Weitra;20133;4;1;;
Sanitätsgemeindeverband Wendling;20133;2;1;;
Sanitätsgemeindeverband Wendling;20133;4;1;;
Sanitätsgemeindeverband Weng im Innkreis;20133;2;1;;
Sanitätsgemeindeverband Weng im Innkreis;20133;4;1;;
Sanitätsgemeindeverband Wimpassing im Schwarzatale;20133;2;1;;
Sanitätsgemeindeverband Wimpassing im Schwarzatale;20133;4;1;;
Sanitätsgemeindeverband Windhaag bei Freistadt;20133;2;1;;
Sanitätsgemeindeverband Windhaag bei Freistadt;20133;4;1;;
Sanitätsgemeindeverband Windischgarsten (Windischgarsten, Edlbach, Rosenau/H.);20133;2;1;;
Sanitätsgemeindeverband Windischgarsten (Windischgarsten, Edlbach, Rosenau/H.);20133;4;1;;
Sanitätsgemeindeverband Winzendorf-Weizendorf;20133;2;1;;
Sanitätsgemeindeverband Winzendorf-Weizendorf;20133;4;1;;
Sanitätsgemeindeverband Wippenham;20133;2;1;;
Sanitätsgemeindeverband Wippenham;20133;4;1;;
Sanitätsgemeindeverband Würmla;20133;2;1;;
Sanitätsgemeindeverband Würmla;20133;4;1;;
Sanitätsgemeindeverband Yspertal;20133;2;1;;
Sanitätsgemeindeverband Yspertal;20133;4;1;;
Sanitätsgemeindeverband Zams;20133;2;1;;
Sanitätsgemeindeverband Zams;20133;4;1;;
Sanitätsgemeindeverband Zell am Moos;20133;2;1;;
Sanitätsgemeindeverband Zell am Moos;20133;4;1;;
Sanitätsgemeindeverband Zwettl;20133;2;1;;
Sanitätsgemeindeverband Zwettl;20133;4;1;;
Sanitätskreis Antau-Hirm-Zemendorf/Stöttera-Pöttelsdorf;20133;2;1;;
Sanitätskreis Antau-Hirm-Zemendorf/Stöttera-Pöttelsdorf;20133;4;1;;
Sanitätskreis Bernstein-Unterkohlstätten;20133;2;1;;
Sanitätskreis Bernstein-Unterkohlstätten;20133;4;1;;
Sanitätskreis Donnerskirchen;20133;2;1;;
Sanitätskreis Donnerskirchen;20133;4;1;;
Sanitätskreis Draßburg-Baumgarten;20133;2;1;;
Sanitätskreis Draßburg-Baumgarten;20133;4;1;;
Sanitätskreis Draßmarkt;20133;2;1;;
Sanitätskreis Draßmarkt;20133;4;1;;
Sanitätskreis Eberau, Strem, Bildein, Moschendorf u. Heiligenbrunn;20133;2;1;;
Sanitätskreis Eberau, Strem, Bildein, Moschendorf u. Heiligenbrunn;20133;4;1;;
Sanitätskreis Eisenstadt;20133;2;1;;
Sanitätskreis Eisenstadt;20133;4;1;;
Sanitätskreis Eltendorf;20133;2;1;;
Sanitätskreis Eltendorf;20133;4;1;;
Sanitätskreis Gattendorf-Zurndorf-Potzneusiedl;20133;2;1;;
Sanitätskreis Gattendorf-Zurndorf-Potzneusiedl;20133;4;1;;
Sanitätskreis Grafenschachen;20133;2;1;;
Sanitätskreis Grafenschachen;20133;4;1;;
Sanitätskreis Großmürbisch, Inzenhof, Kleinmürbisch, Neustift b. Güssing, Tobaj und Tschanigraben;20133;2;1;;
Sanitätskreis Großmürbisch, Inzenhof, Kleinmürbisch, Neustift b. Güssing, Tobaj und Tschanigraben;20133;4;1;;
Sanitätskreis Großpetersdorf-Hannersdorf-Jabing;20133;2;1;;
Sanitätskreis Großpetersdorf-Hannersdorf-Jabing;20133;4;1;;
Sanitätskreis Güttenbach-Neuberg;20133;2;1;;
Sanitätskreis Güttenbach-Neuberg;20133;4;1;;
Sanitätskreis Kittsee - Edelstal;20133;2;1;;
Sanitätskreis Kittsee - Edelstal;20133;4;1;;
Sanitätskreis Kobersdorf-Weppersdorf;20133;2;1;;
Sanitätskreis Kobersdorf-Weppersdorf;20133;4;1;;
Sanitätskreis Kukmirn - Gerersdorf/Sulz;20133;2;1;;
Sanitätskreis Kukmirn - Gerersdorf/Sulz;20133;4;1;;
Sanitätskreis Lackenbach;20133;2;1;;
Sanitätskreis Lackenbach;20133;4;1;;
Sanitätskreis Leithaprodersdorf-Stotzing-Loretto;20133;2;1;;
Sanitätskreis Leithaprodersdorf-Stotzing-Loretto;20133;4;1;;
Sanitätskreis Lockenhaus-Pilgersdorf;20133;2;1;;
Sanitätskreis Lockenhaus-Pilgersdorf;20133;4;1;;
Sanitätskreis Lutzmannsburg-Frankenau/Unterpullendorf;20133;2;1;;
Sanitätskreis Lutzmannsburg-Frankenau/Unterpullendorf;20133;4;1;;
Sanitätskreis Mannersdorf a.d.Rabnitz;20133;2;1;;
Sanitätskreis Mannersdorf a.d.Rabnitz;20133;4;1;;
Sanitätskreis Markt Allhau - Wolfau;20133;2;1;;
Sanitätskreis Markt Allhau - Wolfau;20133;4;1;;
Sanitätskreis Markt Neuhodis-Schachendorf-Schanorf;20133;2;1;;
Sanitätskreis Markt Neuhodis-Schachendorf-Schanorf;20133;4;1;;
Sanitätskreis Markt St. Martin;20133;2;1;;
Sanitätskreis Markt St. Martin;20133;4;1;;
Sanitätskreis Mogersdorf-Weichselbaum-Heiligenkreuz i.L.;20133;2;1;;
Sanitätskreis Mogersdorf-Weichselbaum-Heiligenkreuz i.L.;20133;4;1;;
Sanitätskreis Neckenmarkt-Horitschon;20133;2;1;;
Sanitätskreis Neckenmarkt-Horitschon;20133;4;1;;
Sanitätskreis Oberpullendorf-Stoob;20133;2;1;;
Sanitätskreis Oberpullendorf-Stoob;20133;4;1;;
Sanitätskreis Olbendorf, Bocksdorf, Heugraben, Rohr;20133;2;1;;
Sanitätskreis Olbendorf, Bocksdorf, Heugraben, Rohr;20133;4;1;;
Sanitätskreis Pama - Deutsch Jahrndorf;20133;2;1;;
Sanitätskreis Pama - Deutsch Jahrndorf;20133;4;1;;
Sanitätskreis Parndorf-Neudorf;20133;2;1;;
Sanitätskreis Parndorf-Neudorf;20133;4;1;;
Sanitätskreis Pinkafeld-Riedlingsdorf - Wiesfleck;20133;2;1;;
Sanitätskreis Pinkafeld-Riedlingsdorf - Wiesfleck;20133;4;1;;
Sanitätskreis Pöttsching - Sigleß - Krensdorf;20133;2;1;;
Sanitätskreis Pöttsching - Sigleß - Krensdorf;20133;4;1;;
Sanitätskreis Purbach am Neusiedler See - Breitenbrunn am Neusiedler See;20133;2;1;;
Sanitätskreis Purbach am Neusiedler See - Breitenbrunn am Neusiedler See;20133;4;1;;
Sanitätskreis Rotenturm;20133;2;1;;
Sanitätskreis Rotenturm;20133;4;1;;
Sanitätskreis Schattendorf-Loipersbach im Burgenland;20133;2;1;;
Sanitätskreis Schattendorf-Loipersbach im Burgenland;20133;4;1;;
Sanitätskreis St. Andrä am Zicksee - Tadten;20133;2;1;;
Sanitätskreis St. Andrä am Zicksee - Tadten;20133;4;1;;
Sanitätskreis St. Margarethen-Trausdorf-Oslip;20133;2;1;;
Sanitätskreis St. Margarethen-Trausdorf-Oslip;20133;4;1;;
Sanitätskreis St. Michael-Rauchwart;20133;2;1;;
Sanitätskreis St. Michael-Rauchwart;20133;4;1;;
Sanitätskreis Steinberg-Dörfl;20133;2;1;;
Sanitätskreis Steinberg-Dörfl;20133;4;1;;
Sanitätskreis Stinatz;20133;2;1;;
Sanitätskreis Stinatz;20133;4;1;;
Sanitätskreis Weiden am See-Jois-Winden am See;20133;2;1;;
Sanitätskreis Weiden am See-Jois-Winden am See;20133;4;1;;
Sanitätskreis Wulkaprodersdorf-Zagersdorf;20133;2;1;;
Sanitätskreis Wulkaprodersdorf-Zagersdorf;20133;4;1;;
Sanitätssprengel Axams;20133;2;1;;
Sanitätssprengel Axams;20133;4;1;;
Sanitätssprengel Bad Häring-Schwoich;20133;2;1;;
Sanitätssprengel Bad Häring-Schwoich;20133;4;1;;
Sanitätssprengel Elbigenalp;20133;2;1;;
Sanitätssprengel Elbigenalp;20133;4;1;;
Sanitätssprengel Fügen;20133;2;1;;
Sanitätssprengel Fügen;20133;4;1;;
Sanitätssprengel Hopfgarten-Itter-Westendorf;20133;2;1;;
Sanitätssprengel Hopfgarten-Itter-Westendorf;20133;4;1;;
Sanitätssprengel Jenbach, Buch, Wiesing, Strass;20133;2;1;;
Sanitätssprengel Jenbach, Buch, Wiesing, Strass;20133;4;1;;
Sanitätssprengel Kirchbichl;20133;2;1;;
Sanitätssprengel Kirchbichl;20133;4;1;;
Sanitätssprengel Kirchdorf und Waidring;20133;2;1;;
Sanitätssprengel Kirchdorf und Waidring;20133;4;1;;
Sanitätssprengel Kitzbühel;20133;2;1;;
Sanitätssprengel Kitzbühel;20133;4;1;;
Sanitätssprengel Kundl-Breitenbach;20133;2;1;;
Sanitätssprengel Kundl-Breitenbach;20133;4;1;;
Sanitätssprengel Landeck;20133;2;1;;
Sanitätssprengel Landeck;20133;4;1;;
Sanitätssprengel Lermoos;20133;2;1;;
Sanitätssprengel Lermoos;20133;4;1;;
Sanitätssprengel Lienz-Umgebung II;20133;2;1;;
Sanitätssprengel Lienz-Umgebung II;20133;4;1;;
Sanitätssprengel Ludweis-Aigen;20133;2;1;;
Sanitätssprengel Ludweis-Aigen;20133;4;1;;
Sanitätssprengel Matrei in Osttirol;20133;2;1;;
Sanitätssprengel Matrei in Osttirol;20133;4;1;;
Sanitätssprengel Mayrhofen und Umgebung;20133;2;1;;
Sanitätssprengel Mayrhofen und Umgebung;20133;4;1;;
Sanitätssprengel Niederndorf;20133;2;1;;
Sanitätssprengel Niederndorf;20133;4;1;;
Sanitätssprengel Oberpaznaun;20133;2;1;;
Sanitätssprengel Oberpaznaun;20133;4;1;;
Sanitätssprengel Pfaffenhofen;20133;2;1;;
Sanitätssprengel Pfaffenhofen;20133;4;1;;
Sanitätssprengel Ried - Prutz;20133;2;1;;
Sanitätssprengel Ried - Prutz;20133;4;1;;
Sanitätssprengel Schwaz;20133;2;1;;
Sanitätssprengel Schwaz;20133;4;1;;
Sanitätssprengel Silz-Haiming-Stams-Roppen;20133;2;1;;
Sanitätssprengel Silz-Haiming-Stams-Roppen;20133;4;1;;
Sanitätssprengel St. Jakob in Defereggen;20133;2;1;;
Sanitätssprengel St. Jakob in Defereggen;20133;4;1;;
Sanitätssprengel St. Johann in Tirol;20133;2;1;;
Sanitätssprengel St. Johann in Tirol;20133;4;1;;
Sanitätssprengel Steinach am Brenner;20133;2;1;;
Sanitätssprengel Steinach am Brenner;20133;4;1;;
Sanitätssprengel Stubai;20133;2;1;;
Sanitätssprengel Stubai;20133;4;1;;
Sanitätssprengel Stumm und Umgebung;20133;2;1;;
Sanitätssprengel Stumm und Umgebung;20133;4;1;;
Sanitätssprengel Tannheimertal;20133;2;1;;
Sanitätssprengel Tannheimertal;20133;4;1;;
Sanitätssprengel Telfs;20133;2;1;;
Sanitätssprengel Telfs;20133;4;1;;
Sanitätssprengel Unterpaznaun;20133;2;1;;
Sanitätssprengel Unterpaznaun;20133;4;1;;
Sanitätssprengel Wattens-Volders;20133;2;1;;
Sanitätssprengel Wattens-Volders;20133;4;1;;
Sanitätssprengel Weer und Umgebung;20133;2;1;;
Sanitätssprengel Weer und Umgebung;20133;4;1;;
Sanitätssprengel Weißenbach am Lech;20133;2;1;;
Sanitätssprengel Weißenbach am Lech;20133;4;1;;
Sanitätssprengel Zell am Ziller und Umgebung;20133;2;1;;
Sanitätssprengel Zell am Ziller und Umgebung;20133;4;1;;
Sargerzeugung Atzgersdorf GmbH;20133;2;1;;
Sargerzeugung Atzgersdorf GmbH;20133;4;1;;
SATORIA Grundstückvermietung GmbH;20133;2;1;;
SATORIA Grundstückvermietung GmbH;20133;4;1;;
SBH Biomasseheizkraftwerk GmbH in Liquidation;20133;2;1;;
SBH Biomasseheizkraftwerk GmbH in Liquidation;20133;4;1;;
SBL Service-Betriebe-Linz GmbH;20133;2;1;;
SBL Service-Betriebe-Linz GmbH;20133;4;1;;
SCA Schedule Coordination Austria GmbH;20133;2;1;;
SCA Schedule Coordination Austria GmbH;20133;4;1;;
Scanpoint GmbH;20133;2;1;;
Scanpoint GmbH;20133;4;1;;
Schallaburg Kulturbetriebsges.m.b.H.;20133;2;0;Genuss.wein.pur;10320
Schallaburg Kulturbetriebsges.m.b.H.;20133;2;0;Kronen Zeitung;8034,88
Schallaburg Kulturbetriebsges.m.b.H.;20133;4;1;;
Schauspielhaus Graz GmbH;20133;2;0;Kleine Zeitung;18083
Schauspielhaus Graz GmbH;20133;4;1;;
Schauspielhaus Wien GmbH;20133;2;1;;
Schauspielhaus Wien GmbH;20133;4;1;;
Schienen-Control Österreichische Ges. für Schienenverkehrsmarktregulier.;20133;2;1;;
Schienen-Control Österreichische Ges. für Schienenverkehrsmarktregulier.;20133;4;1;;
Schieneninfrastruktur-Dienstleistungsgesellschaft mbH;20133;2;1;;
Schieneninfrastruktur-Dienstleistungsgesellschaft mbH;20133;4;1;;
Schischaukel MönichkirchenMariensee GmbH;20133;2;1;;
Schischaukel MönichkirchenMariensee GmbH;20133;4;1;;
Schloß Hofen - Wissenschafts- und Weiterbildungs-Gesellschaft mbH;20133;2;1;;
Schloß Hofen - Wissenschafts- und Weiterbildungs-Gesellschaft mbH;20133;4;1;;
Schloß Laxenburg Betriebsgesellschaft m.b.H.;20133;2;1;;
Schloß Laxenburg Betriebsgesellschaft m.b.H.;20133;4;1;;
Schloß Schönbrunn Kultur- und Betriebsgesellschaft m.b.H.;20133;2;0;Infoscreen;6029,76
Schloß Schönbrunn Kultur- und Betriebsgesellschaft m.b.H.;20133;4;1;;
Schneeberg Sesselbahn GmbH;20133;2;1;;
Schneeberg Sesselbahn GmbH;20133;4;1;;
Schneegatterer gemeinnützige Wohnungsgesellschaft m.b.H.;20133;2;1;;
Schneegatterer gemeinnützige Wohnungsgesellschaft m.b.H.;20133;4;1;;
Schöckl Seilbahn GmbH;20133;2;1;;
Schöckl Seilbahn GmbH;20133;4;1;;
Schoeller Münzhandel GmbH;20133;2;1;;
Schoeller Münzhandel GmbH;20133;4;1;;
SCHOELLER-BLECKMANN Gesellschaft m.b.H.;20133;2;1;;
SCHOELLER-BLECKMANN Gesellschaft m.b.H.;20133;4;1;;
Schönbrunner Tiergarten- Gesellschaft m.b.H.;20133;2;0;Infoscreen;43024,24
Schönbrunner Tiergarten- Gesellschaft m.b.H.;20133;4;1;;
Schuldnerberatung Wien - gemeinnützigeGmbH;20133;2;1;;
Schuldnerberatung Wien - gemeinnützigeGmbH;20133;4;1;;
Schulerhalterverband Allgemeine Sonderschule Rankweil-Vorderland;20133;2;1;;
Schulerhalterverband Allgemeine Sonderschule Rankweil-Vorderland;20133;4;1;;
Schulerhalterverband Allgemeine Sonderschule Region Kummenberg;20133;2;1;;
Schulerhalterverband Allgemeine Sonderschule Region Kummenberg;20133;4;1;;
Schulerhalterverband Allgemeine Sonderschule Vandans - Sonderpädagogisches Zentrum Montafon;20133;2;1;;
Schulerhalterverband Allgemeine Sonderschule Vandans - Sonderpädagogisches Zentrum Montafon;20133;4;1;;
Schulerhalterverband Hauptschule Klaus/Weiler/Fraxern;20133;2;1;;
Schulerhalterverband Hauptschule Klaus/Weiler/Fraxern;20133;4;1;;
Schulerhalterverband Hauptschule Klostertal;20133;2;1;;
Schulerhalterverband Hauptschule Klostertal;20133;4;1;;
Schulerhalterverband Hauptschule Rankweil;20133;2;1;;
Schulerhalterverband Hauptschule Rankweil;20133;4;1;;
Schulerhalterverband Hauptschule Sulz-Röthis;20133;2;1;;
Schulerhalterverband Hauptschule Sulz-Röthis;20133;4;1;;
Schulerhalterverband Hittisau;20133;2;1;;
Schulerhalterverband Hittisau;20133;4;1;;
Schulerhalterverband Polytechnische Schule Bezau;20133;2;1;;
Schulerhalterverband Polytechnische Schule Bezau;20133;4;1;;
Schulerhalterverband Polytechnische Schule Bregenz;20133;2;1;;
Schulerhalterverband Polytechnische Schule Bregenz;20133;4;1;;
Schulerhalterverband Polytechnischer Lehrgang Außermontafon;20133;2;1;;
Schulerhalterverband Polytechnischer Lehrgang Außermontafon;20133;4;1;;
Schulerhalterverband Polytechnischer Lehrgang Rankweil;20133;2;1;;
Schulerhalterverband Polytechnischer Lehrgang Rankweil;20133;4;1;;
Schulgemeinde der allgemeinen Sonderschule Hollabrunn;20133;2;1;;
Schulgemeinde der allgemeinen Sonderschule Hollabrunn;20133;4;1;;
Schulgemeinde der Allgemeinen Sonderschule Mödling;20133;2;1;;
Schulgemeinde der Allgemeinen Sonderschule Mödling;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Baden;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Baden;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Gmünd;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Gmünd;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Groß Gerungs-Griesbach;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Groß Gerungs-Griesbach;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Groß-Enzersdorf;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Groß-Enzersdorf;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Himberg;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Himberg;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Hollabrunn;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Hollabrunn;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Horn;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Horn;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Korneuburg;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Korneuburg;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Laa an der Thaya;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Laa an der Thaya;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Landeck;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Landeck;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Mistelbach;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Mistelbach;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Mödling;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Mödling;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Pottenstein;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Pottenstein;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Scheibbs;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Scheibbs;20133;4;1;;
Schulgemeinde der Polytechnischen Schule St. Peter in der Au;20133;2;1;;
Schulgemeinde der Polytechnischen Schule St. Peter in der Au;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Ternitz;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Ternitz;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Waidhofen;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Waidhofen;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Wiener Neustadt;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Wiener Neustadt;20133;4;1;;
Schulgemeinde der Polytechnischen Schule Zwettl;20133;2;1;;
Schulgemeinde der Polytechnischen Schule Zwettl;20133;4;1;;
Schulgemeinde Rogatsboden;20133;2;1;;
Schulgemeinde Rogatsboden;20133;4;1;;
Schulgemeindeverband Feldkirchen;20133;2;1;;
Schulgemeindeverband Feldkirchen;20133;4;1;;
Schulgemeindeverband Hermagor;20133;2;1;;
Schulgemeindeverband Hermagor;20133;4;1;;
Schulgemeindeverband Klagenfurt-Land;20133;2;1;;
Schulgemeindeverband Klagenfurt-Land;20133;4;1;;
Schulgemeindeverband Spittal an der Drau;20133;2;1;;
Schulgemeindeverband Spittal an der Drau;20133;4;1;;
Schulgemeindeverband St. Veit an der Glan;20133;2;1;;
Schulgemeindeverband St. Veit an der Glan;20133;4;1;;
Schulgemeindeverband Villach;20133;2;1;;
Schulgemeindeverband Villach;20133;4;1;;
Schulgemeindeverband Völkermarkt;20133;2;1;;
Schulgemeindeverband Völkermarkt;20133;4;1;;
Schulgemeindeverband Wolfsberg;20133;2;1;;
Schulgemeindeverband Wolfsberg;20133;4;1;;
Schulgemeindeverband Wolfsberg Immobilien KG;20133;2;1;;
Schulgemeindeverband Wolfsberg Immobilien KG;20133;4;1;;
Schulverband Imst;20133;2;1;;
Schulverband Imst;20133;4;1;;
Schulverband Paznaun;20133;2;1;;
Schulverband Paznaun;20133;4;1;;
Schutzwasserverband Kremstal;20133;2;1;;
Schutzwasserverband Kremstal;20133;4;1;;
Schwarza Wasserverband;20133;2;1;;
Schwarza Wasserverband;20133;4;1;;
Schwazer Kommunalbetriebe GmbH;20133;2;1;;
Schwazer Kommunalbetriebe GmbH;20133;4;1;;
Science Park Graz GmbH;20133;2;1;;
Science Park Graz GmbH;20133;4;1;;
Secport Security Services GmbH;20133;2;1;;
Secport Security Services GmbH;20133;4;1;;
Seibersdorf Labor GmbH;20133;2;1;;
Seibersdorf Labor GmbH;20133;4;1;;
Selbsthilfe-Werkstätten- Betriebs- GmbH;20133;2;1;;
Selbsthilfe-Werkstätten- Betriebs- GmbH;20133;4;1;;
Senator Wilhelm Wilfling Stiftung zur Förderung der wissenschaftli-chen Forschung an der Wirtschaftsuniversität Wien;20133;2;1;;
Senator Wilhelm Wilfling Stiftung zur Förderung der wissenschaftli-chen Forschung an der Wirtschaftsuniversität Wien;20133;4;1;;
Senioren-Betreuung Feldkirch Gesellschaft mbH;20133;2;1;;
Senioren-Betreuung Feldkirch Gesellschaft mbH;20133;4;1;;
Servicebetrieb ÖH - Uni Graz Gesellschaft mit beschränkter Haftung;20133;2;1;;
Servicebetrieb ÖH - Uni Graz Gesellschaft mit beschränkter Haftung;20133;4;1;;
SERVUS ABFALL Dienstleistungs GmbH;20133;2;1;;
SERVUS ABFALL Dienstleistungs GmbH;20133;4;1;;
SERVUS ABFALL DienstleistungsGmbH & CO KG;20133;2;1;;
SERVUS ABFALL DienstleistungsGmbH & CO KG;20133;4;1;;
Shkodra Region Beteiligungsholding GmbH;20133;2;1;;
Shkodra Region Beteiligungsholding GmbH;20133;4;1;;
Shop- und Gastronomiebetriebs GmbH der Tiroler Landesmuseen;20133;2;1;;
Shop- und Gastronomiebetriebs GmbH der Tiroler Landesmuseen;20133;4;1;;
SHV Völkermarkt Verwaltungsund Besitzgesellschaft m.b.H.;20133;2;1;;
SHV Völkermarkt Verwaltungsund Besitzgesellschaft m.b.H.;20133;4;1;;
Sigmund Weinberger-Stiftung für Augenkranke und Blinde;20133;2;1;;
Sigmund Weinberger-Stiftung für Augenkranke und Blinde;20133;4;1;;
SIG-Seeliegenschaftengesellschaft Kärnten Verwaltungs GmbH;20133;2;1;;
SIG-Seeliegenschaftengesellschaft Kärnten Verwaltungs GmbH;20133;4;1;;
Silvretta-Center Leasing GmbH;20133;2;1;;
Silvretta-Center Leasing GmbH;20133;4;1;;
Simbawelt Shop & Gastronomiebetrieb GmbH;20133;2;1;;
Simbawelt Shop & Gastronomiebetrieb GmbH;20133;4;1;;
simpli services GmbH;20133;2;1;;
simpli services GmbH;20133;4;1;;
simpli services GmbH & Co KG;20133;2;0;ATV;13029,87
simpli services GmbH & Co KG;20133;2;0;E & W;17500
simpli services GmbH & Co KG;20133;2;0;ORF 2;64621,25
simpli services GmbH & Co KG;20133;2;0;RTL;15050,28
simpli services GmbH & Co KG;20133;2;0;Sat 1 - Österreich;11156,87
simpli services GmbH & Co KG;20133;2;0;Schau TV;5151,85
simpli services GmbH & Co KG;20133;2;0;VOX;12795,17
simpli services GmbH & Co KG;20133;2;0;www.futurezone.at;8333,33
simpli services GmbH & Co KG;20133;2;0;www.google.at;15118
simpli services GmbH & Co KG;20133;4;1;;
SISTEG Salzburger Infrastruktur Errichtungs GmbH;20133;2;1;;
SISTEG Salzburger Infrastruktur Errichtungs GmbH;20133;4;1;;
SIT-Southern Information Technologies Entwicklungs- und Beteiligungsgesellschaft m.b.H.;20133;2;1;;
SIT-Southern Information Technologies Entwicklungs- und Beteiligungsgesellschaft m.b.H.;20133;4;1;;
SIVBEG - Strategische Immobilien Verwertungs-, Beratungs;20133;2;1;;
SIVBEG - Strategische Immobilien Verwertungs-, Beratungs;20133;4;1;;
Smart Minerals GmbH;20133;2;1;;
Smart Minerals GmbH;20133;4;1;;
Snowsport TSLV GmbH;20133;2;1;;
Snowsport TSLV GmbH;20133;4;1;;
Software Competence Center Hagenberg GmbH;20133;2;1;;
Software Competence Center Hagenberg GmbH;20133;4;1;;
Solar Graz GmbH;20133;2;1;;
Solar Graz GmbH;20133;4;1;;
Solidaritätsfonds des österreichischen Tabakeinzelhandels;20133;2;1;;
Solidaritätsfonds des österreichischen Tabakeinzelhandels;20133;4;1;;
Sonderpädagogisches Zentrum Scheibbs;20133;2;1;;
Sonderpädagogisches Zentrum Scheibbs;20133;4;1;;
Sonderpädagogisches Zentrum Sillian-Oberland;20133;2;1;;
Sonderpädagogisches Zentrum Sillian-Oberland;20133;4;1;;
Sonderpädagogisches Zentrum Sollenau;20133;2;1;;
Sonderpädagogisches Zentrum Sollenau;20133;4;1;;
Sonderschulgemeinde Allentsteig;20133;2;1;;
Sonderschulgemeinde Allentsteig;20133;4;1;;
Sonderschulgemeinde Amstetten;20133;2;1;;
Sonderschulgemeinde Amstetten;20133;4;1;;
Sonderschulgemeinde Aspang Markt;20133;2;1;;
Sonderschulgemeinde Aspang Markt;20133;4;1;;
Sonderschulgemeinde Baden;20133;2;1;;
Sonderschulgemeinde Baden;20133;4;1;;
Sonderschulgemeinde Berndorf;20133;2;1;;
Sonderschulgemeinde Berndorf;20133;4;1;;
Sonderschulgemeinde Bruck an der Leitha;20133;2;1;;
Sonderschulgemeinde Bruck an der Leitha;20133;4;1;;
Sonderschulgemeinde Ebreichsdorf;20133;2;1;;
Sonderschulgemeinde Ebreichsdorf;20133;4;1;;
Sonderschulgemeinde Eggenburg;20133;2;1;;
Sonderschulgemeinde Eggenburg;20133;4;1;;
Sonderschulgemeinde Eggendorf;20133;2;1;;
Sonderschulgemeinde Eggendorf;20133;4;1;;
Sonderschulgemeinde Fischamend;20133;2;1;;
Sonderschulgemeinde Fischamend;20133;4;1;;
Sonderschulgemeinde Gänserndorf;20133;2;1;;
Sonderschulgemeinde Gänserndorf;20133;4;1;;
Sonderschulgemeinde Gloggnitz;20133;2;1;;
Sonderschulgemeinde Gloggnitz;20133;4;1;;
Sonderschulgemeinde Gmünd;20133;2;1;;
Sonderschulgemeinde Gmünd;20133;4;1;;
